,BRTI,EICH,HDBK,HLL,LART,RELI,SUN,TISC,TITN
BRTI,0.004270079383670556,0.0012956130020858089,0.0016234924951998837,0.00017102752261979727,0.0017214530953884337,0.0019225188376880828,0.0015759974422693119,0.0014157839073902397,0.001139172575617897
EICH,0.0012956130020858089,0.007073516539584301,0.0021293852974688587,0.0011390993529548088,0.002763324104877471,0.0021249214211028376,0.0017738829696391512,0.0028896577577480044,0.0026916426934682196
HDBK,0.0016234924951998837,0.0021293852974688587,0.004307330939619978,0.00032273031870843515,0.0030915286707628373,0.0022212655431342126,0.0007961524478848868,0.0036672467482454273,0.0024096925120358228
HLL,0.00017102752261979727,0.0011390993529548088,0.00032273031870843515,0.003813429451434058,0.0003768276813721906,7.08962641536253e-05,0.0003486811693352748,0.0001036530720280065,0.0019123390617933821
LART,0.0017214530953884337,0.002763324104877471,0.0030915286707628373,0.0003768276813721906,0.005905614621225427,0.0015383882816921407,0.0019000162599980925,0.004588671416335005,0.0035977530539199045
RELI,0.0019225188376880828,0.0021249214211028376,0.0022212655431342126,7.08962641536253e-05,0.0015383882816921407,0.005763286872820539,0.0026646614512110707,0.0019078397162740008,0.0024726550691378767
SUN,0.0015759974422693119,0.0017738829696391512,0.0007961524478848868,0.0003486811693352748,0.0019000162599980925,0.0026646614512110707,0.005774626531797799,0.003013516360827849,0.0012346245679220283
TISC,0.0014157839073902397,0.0028896577577480044,0.0036672467482454273,0.0001036530720280065,0.004588671416335005,0.0019078397162740008,0.003013516360827849,0.012562460127538715,0.003458579883009665
TITN,0.001139172575617897,0.0026916426934682196,0.0024096925120358228,0.0019123390617933821,0.0035977530539199045,0.0024726550691378767,0.0012346245679220283,0.003458579883009665,0.006801346425789582
